PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
CHE,0,1876,1876,1,f,63,1,TL,2,O,184,.,.,.,1
CHE,0,1876,1876,1,f,63,1,TU,2,O,239,.,.,.,1
CHE,0,1876,1876,1,f,64,1,TL,2,O,211,.,.,.,1
CHE,0,1876,1876,1,f,64,1,TU,2,O,250,.,.,.,1
CHE,0,1876,1876,1,f,65,1,TL,2,O,188,.,.,.,1
CHE,0,1876,1876,1,f,65,1,TU,2,O,225,.,.,.,1
CHE,0,1876,1876,1,f,66,1,TL,2,O,231,.,.,.,1
CHE,0,1876,1876,1,f,66,1,TU,2,O,257,.,.,.,1
CHE,0,1876,1876,1,f,67,1,TL,2,O,219,.,.,.,1
CHE,0,1876,1876,1,f,67,1,TU,2,O,277,.,.,.,1
CHE,0,1876,1876,1,f,68,1,TL,2,O,265,.,.,.,1
CHE,0,1876,1876,1,f,68,1,TU,2,O,280,.,.,.,1
CHE,0,1876,1876,1,f,69,1,TL,2,O,222,.,.,.,1
CHE,0,1876,1876,1,f,69,1,TU,2,O,269,.,.,.,1
CHE,0,1876,1876,1,f,70,1,TL,2,O,240,.,.,.,1
CHE,0,1876,1876,1,f,70,1,TU,2,O,262,.,.,.,1
CHE,0,1876,1876,1,f,71,1,TL,2,O,231,.,.,.,1
CHE,0,1876,1876,1,f,71,1,TU,2,O,259,.,.,.,1
CHE,0,1876,1876,1,f,72,1,TL,2,O,238,.,.,.,1
CHE,0,1876,1876,1,f,72,1,TU,2,O,258,.,.,.,1
CHE,0,1876,1876,1,f,73,1,TL,2,O,211,.,.,.,1
CHE,0,1876,1876,1,f,73,1,TU,2,O,266,.,.,.,1
CHE,0,1876,1876,1,f,74,1,TL,2,O,206,.,.,.,1
CHE,0,1876,1876,1,f,74,1,TU,2,O,239,.,.,.,1
CHE,0,1876,1876,1,f,75,1,TL,2,O,191,.,.,.,1
CHE,0,1876,1876,1,f,75,1,TU,2,O,224,.,.,.,1
CHE,0,1876,1876,1,f,76,1,TL,2,O,182,.,.,.,1
CHE,0,1876,1876,1,f,76,1,TU,2,O,206,.,.,.,1
CHE,0,1876,1876,1,f,77,1,TL,2,O,169,.,.,.,1
CHE,0,1876,1876,1,f,77,1,TU,2,O,184,.,.,.,1
CHE,0,1876,1876,1,f,78,1,TL,2,O,150,.,.,.,1
CHE,0,1876,1876,1,f,78,1,TU,2,O,165,.,.,.,1
CHE,0,1876,1876,1,f,79,1,TL,2,O,126,.,.,.,1
CHE,0,1876,1876,1,f,79,1,TU,2,O,136,.,.,.,1
CHE,0,1876,1876,1,f,80,1,TL,2,O,109,.,.,.,1
CHE,0,1876,1876,1,f,80,1,TU,2,O,122,.,.,.,1
CHE,0,1876,1876,1,f,81,1,TL,2,O,106,.,.,.,1
CHE,0,1876,1876,1,f,81,1,TU,2,O,95,.,.,.,1
CHE,0,1876,1876,1,f,82,1,TL,2,O,71,.,.,.,1
CHE,0,1876,1876,1,f,82,1,TU,2,O,97,.,.,.,1
CHE,0,1876,1876,1,f,83,1,TL,2,O,70,.,.,.,1
CHE,0,1876,1876,1,f,83,1,TU,2,O,98,.,.,.,1
CHE,0,1876,1876,1,f,84,1,TL,2,O,65,.,.,.,1
CHE,0,1876,1876,1,f,84,1,TU,2,O,86,.,.,.,1
CHE,0,1876,1876,1,f,85,1,TL,2,O,44,.,.,.,1
CHE,0,1876,1876,1,f,85,1,TU,2,O,63,.,.,.,1
CHE,0,1876,1876,1,f,86,1,TL,2,O,45,.,.,.,1
CHE,0,1876,1876,1,f,86,1,TU,2,O,47,.,.,.,1
CHE,0,1876,1876,1,f,87,1,TL,2,O,28,.,.,.,1
CHE,0,1876,1876,1,f,87,1,TU,2,O,30,.,.,.,1
CHE,0,1876,1876,1,f,88,1,TL,2,O,28,.,.,.,1
CHE,0,1876,1876,1,f,88,1,TU,2,O,35,.,.,.,1
CHE,0,1876,1876,1,f,89,1,TL,2,O,21,.,.,.,1
